id,created_at,updated_at,country,average,count,s1,s2,s3,s4,s5,type,date_string
144,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.372,152423,9164,4625,8747,27725,102162,android,20160919
145,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.372,152423,9164,4625,8747,27725,102162,android,20160920
146,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.523,44659,2334,859,1722,5943,33801,ios,20160920
147,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.372,152423,9164,4625,8747,27725,102162,android,20160921
148,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.524,44756,2336,860,1724,5951,33885,ios,20160921
149,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.524,44827,2336,861,1724,5963,33943,ios,20160922
150,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.372,152423,9164,4625,8747,27725,102162,android,20160922
151,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.524,44896,2338,862,1725,5970,34001,ios,20160923
152,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.372,153330,9219,4655,8785,27892,102779,android,20160923
153,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.372,153330,9219,4655,8785,27892,102779,android,20160926
154,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.525,45187,2347,864,1734,6018,34224,ios,20160926
155,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.372,153330,9219,4655,8785,27892,102779,android,20160927
156,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.525,45187,2347,864,1734,6018,34224,ios,20160927
157,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.372,153330,9219,4655,8785,27892,102779,android,20160928
158,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.525,45283,2350,866,1730,6034,34303,ios,20160928
159,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.526,45344,2350,865,1731,6042,34356,ios,20160929
160,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.372,154142,9253,4673,8820,28057,103339,android,20160929
161,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.372,154142,9253,4673,8820,28057,103339,android,20160930
162,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.526,45399,2350,865,1736,6055,34393,ios,20160930
163,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.526,45455,2351,866,1738,6061,34439,ios,20161001
164,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.372,154142,9253,4673,8820,28057,103339,android,20161001
165,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.526,45518,2352,869,1738,6072,34487,ios,20161002
166,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.372,154142,9253,4673,8820,28057,103339,android,20161002
167,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.372,154142,9253,4673,8820,28057,103339,android,20161003
168,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.526,45583,2354,868,1742,6085,34534,ios,20161003
169,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.527,45659,2354,870,1743,6089,34603,ios,20161004
170,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.372,154142,9253,4673,8820,28057,103339,android,20161004
